# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-21 10:45:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 46051
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmplgwt001z/cryo-erk_atmu8o/cryo-er-20231121114549.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0338
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.5031e+07,0.951714,0.0338,7,127,0,4.5031e+07,0.000613819,0.35027,0.000117752,0.00149835,0.283068,4.7927e-05,0.000594265,0.363206,0.000550834,3.25142e-05,-7.39581,-1.04905,-9.04693,-6.50339,-1.26207,-9.94583,-7.42818,-1.01278,-7.50408,-10.3338
-4.5031e+07,0.762311,0.0338,7,127,0,4.5031e+07,0.00207775,0.34334,0.00250527,0.000304569,0.280902,0.000153256,0.00134881,0.364982,0.000848651,0.00353859,-6.17647,-1.06904,-5.98936,-8.09661,-1.26975,-8.7834,-6.60854,-1.00791,-7.07186,-5.64403
-4.5031e+07,0.887508,0.0338,7,127,0,4.5031e+07,0.000369636,0.355257,0.000115329,0.00171929,0.278045,0.000196917,0.00141666,0.362162,0.000389863,0.00032745,-7.90299,-1.03491,-9.06772,-6.36584,-1.27997,-8.53273,-6.55946,-1.01566,-7.84971,-8.02418
-4.5031e+07,0.988064,0.0338,7,127,0,4.5031e+07,0.00200066,0.3554,7.72272e-05,0.000653421,0.273853,7.90349e-05,0.000597499,0.366746,0.000518968,7.4417e-05,-6.21428,-1.03451,-9.46876,-7.33329,-1.29516,-9.44562,-7.42276,-1.00309,-7.56367,-9.50583
-4.5031e+07,0.864049,0.0338,6,63,0,4.5031e+07,0.00544752,0.360715,0.000110046,0.000233274,0.269823,0.00044262,0.00128842,0.361472,0.000445864,2.24691e-05,-5.21259,-1.01967,-9.11461,-8.3633,-1.30999,-7.7228,-6.65434,-1.01757,-7.7155,-10.7034
-4.5031e+07,0.793941,0.0338,7,127,0,4.5031e+07,1.66456e-05,0.358961,4.25095e-05,0.000960363,0.276464,2.1035e-05,0.00124504,0.361388,1.5714e-05,0.000885262,-11.0034,-1.02454,-10.0658,-6.9482,-1.28567,-10.7693,-6.68859,-1.0178,-11.061,-7.02963
-4.5031e+07,0.969737,0.0338,7,127,0,4.5031e+07,0.0017249,0.361417,0.0030073,0.00125924,0.269709,9.26308e-05,0.000394621,0.35887,0.0020454,0.00147993,-6.36258,-1.01772,-5.80671,-6.67724,-1.31041,-9.28689,-7.83759,-1.0248,-6.19216,-6.51576
-4.5031e+07,0.986317,0.0338,7,127,0,4.5031e+07,0.000758068,0.36284,0.000150064,0.0015454,0.269758,0.000425944,0.000762936,0.36278,0.000155776,0.000824196,-7.18474,-1.01379,-8.80445,-6.47247,-1.31023,-7.7612,-7.17834,-1.01396,-8.76709,-7.1011
-4.5031e+07,0.861577,0.0338,7,127,0,4.5031e+07,0.00122535,0.35851,0.00260063,0.000573816,0.272627,4.77937e-06,0.00152482,0.362273,3.59819e-05,0.000623946,-6.70453,-1.0258,-5.952,-7.4632,-1.29965,-12.2512,-6.48588,-1.01536,-10.2325,-7.37945
-4.5031e+07,0.70503,0.0338,7,255,0,4.5031e+07,0.000109659,0.367426,0.000185474,0.00179782,0.269747,4.77908e-06,0.00056556,0.355719,0.00431656,0.000127931,-9.11813,-1.00123,-8.5926,-6.32118,-1.31027,-12.2513,-7.47769,-1.03361,-5.4453,-8.96402
-4.5031e+07,0.992149,0.0338,7,127,0,4.5031e+07,0.00114507,0.364647,0.000150458,0.00024932,0.272598,5.73729e-05,0.00123414,0.358891,0.000952348,7.51685e-05,-6.77229,-1.00883,-8.80183,-8.29678,-1.29976,-9.76594,-6.69738,-1.02474,-6.95658,-9.49578
-4.5031e+07,0.855819,0.0338,7,127,0,4.5031e+07,0.000506321,0.364331,0.00017444,0.00220027,0.274151,0.000258188,0.000396025,0.355873,0.000954112,0.00115564,-7.58834,-1.00969,-8.65393,-6.11918,-1.29408,-8.26182,-7.83403,-1.03318,-6.95473,-6.7631
-4.5031e+07,1,0.0338,7,127,0,4.5031e+07,0.000693519,0.356442,0.000795987,0.000784522,0.274476,9.22097e-05,0.00173167,0.363353,0.00127341,0.000357028,-7.27373,-1.03158,-7.13593,-7.15044,-1.29289,-9.29144,-6.35867,-1.01238,-6.66606,-7.9377
-4.5031e+07,0.949342,0.0338,7,127,0,4.5031e+07,0.00148601,0.353038,0.00176695,0.00179564,0.277855,0.000104428,0.000411021,0.363175,0.000261724,0.000106311,-6.51166,-1.04118,-6.3385,-6.32239,-1.28066,-9.16702,-7.79687,-1.01287,-8.24822,-9.14914
-4.5031e+07,0.647331,0.0338,7,127,0,4.5031e+07,0.000565706,0.364054,0.00196084,0.000264133,0.264646,2.1485e-05,0.0014993,0.366661,0.000266893,6.10176e-05,-7.47744,-1.01045,-6.23438,-8.23906,-1.32936,-10.7482,-6.50276,-1.00332,-8.22866,-9.70435
-4.5031e+07,0.99021,0.0338,7,127,0,4.5031e+07,0.00348989,0.350407,0.000134534,0.000601178,0.270892,1.02756e-05,0.000883582,0.373064,0.000324191,0.000194202,-5.65788,-1.04866,-8.9137,-7.41662,-1.30604,-11.4857,-7.03153,-0.986006,-8.03418,-8.54661
-4.5031e+07,0.838967,0.0338,7,127,0,4.5031e+07,0.00011756,0.344492,0.00102199,0.00268889,0.277103,7.1515e-06,0.00108131,0.368124,0.00232174,0.00304298,-9.04856,-1.06568,-6.886,-5.91863,-1.28337,-11.8482,-6.82958,-0.999336,-6.06544,-5.79492
-4.5031e+07,0.924534,0.0338,5,43,0,4.5031e+07,0.000159294,0.35018,0.000745292,0.00155208,0.281531,1.01671e-05,0.00108725,0.362298,0.00114781,0.00128863,-8.74476,-1.04931,-7.20173,-6.46816,-1.26751,-11.4964,-6.8241,-1.01529,-6.7699,-6.65418
-4.5031e+07,0.99181,0.0338,6,127,0,4.5031e+07,0.00198066,0.356461,0.000722482,0.00148876,0.276525,1.41166e-05,0.000691105,0.357675,0.00099447,0.00344696,-6.22432,-1.03153,-7.23282,-6.50981,-1.28545,-11.1682,-7.27722,-1.02813,-6.9133,-5.67026
-4.5031e+07,0.798883,0.0338,7,127,0,4.5031e+07,0.000464999,0.357036,0.000339784,0.000569918,0.275945,7.64906e-05,0.000345632,0.365026,3.51612e-05,0.000160933,-7.67348,-1.02992,-7.9872,-7.47002,-1.28755,-9.47834,-7.97014,-1.00779,-10.2556,-8.73452
-4.5031e+07,0.96951,0.0338,6,127,0,4.5031e+07,0.000272374,0.354719,0.000627817,0.000704897,0.275468,8.68601e-05,0.000666846,0.366859,0.000183031,0.000412842,-8.20834,-1.03643,-7.37326,-7.25746,-1.28929,-9.35121,-7.31295,-1.00278,-8.60586,-7.79245
-4.5031e+07,0.617164,0.0338,6,63,0,4.5031e+07,0.000307644,0.356158,0.000365331,0.00121023,0.267485,0.000179358,0.000752495,0.369179,0.000959321,0.00340412,-8.08657,-1.03238,-7.91471,-6.71694,-1.31869,-8.62612,-7.19212,-0.996474,-6.94929,-5.68277
