# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-22 14:00:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 60518
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmph0litvrk/cryo-erquzigtdd/cryo-er-20231122150021.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0356317
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.56917e+07,0.944113,0.0356317,6,127,0,4.56917e+07,0.00318682,0.362128,0.00195012,0.000842266,0.270596,3.98623e-05,0.000850552,0.359126,0.00065646,0.000622662,-5.74873,-1.01576,-6.23986,-7.07941,-1.30713,-10.1301,-7.06962,-1.02408,-7.32865,-7.38151
-4.56917e+07,0.872049,0.0356317,6,63,0,4.56917e+07,0.000511274,0.366829,0.000206709,0.00274437,0.265823,4.36836e-05,0.000563548,0.360631,0.00119072,0.00145684,-7.5786,-1.00286,-8.4842,-5.8982,-1.32493,-10.0385,-7.48126,-1.0199,-6.73319,-6.53148
-4.56917e+07,0.710762,0.0356317,7,127,0,4.56917e+07,0.00162556,0.364074,0.00228903,0.000197135,0.274598,0.000202129,0.00200097,0.353457,0.000534244,0.00102176,-6.4219,-1.0104,-6.07963,-8.53162,-1.29245,-8.50661,-6.21412,-1.03999,-7.53466,-6.88623
-4.56917e+07,0.8594,0.0356317,6,127,0,4.56917e+07,0.00167732,0.367449,0.00258695,8.48553e-05,0.274275,0.000131734,0.00163899,0.350958,0.000337923,0.000860548,-6.39056,-1.00117,-5.95728,-9.37456,-1.29362,-8.93472,-6.41367,-1.04709,-7.99269,-7.05794
-4.56917e+07,0.964521,0.0356317,6,63,0,4.56917e+07,0.00116864,0.360026,0.00132307,0.000148506,0.277861,0.000544728,0.000869812,0.355663,0.000971368,0.00142393,-6.75191,-1.02158,-6.6278,-8.81488,-1.28063,-7.51522,-7.04723,-1.03377,-6.93681,-6.55434
-4.56917e+07,0.904278,0.0356317,6,63,0,4.56917e+07,0.000806889,0.370454,0.00383593,4.07934e-05,0.274134,0.00100039,0.000829415,0.34779,0.000626114,0.000482598,-7.12232,-0.993026,-5.56334,-10.107,-1.29414,-6.90737,-7.09479,-1.05616,-7.37598,-7.63633
-4.56917e+07,0.98558,0.0356317,6,63,0,4.56917e+07,0.00105545,0.36146,0.000127886,0.000122831,0.277904,9.42881e-05,0.00127991,0.354224,0.00194242,0.0017892,-6.85379,-1.0176,-8.96437,-9.0047,-1.28048,-9.26916,-6.66096,-1.03782,-6.24382,-6.32599
-4.56917e+07,0.995556,0.0356317,6,63,0,4.56917e+07,0.000399825,0.371095,0.000118113,0.000122696,0.274144,0.000574701,0.00109849,0.351741,0.000479994,0.000225428,-7.82448,-0.991296,-9.04387,-9.0058,-1.2941,-7.46166,-6.81382,-1.04486,-7.64174,-8.39751
-4.56917e+07,0.961019,0.0356317,6,63,0,4.56917e+07,0.00307099,0.356877,0.000140021,0.000657154,0.266188,0.000146251,0.000918315,0.367264,0.00358138,0.00115662,-5.78576,-1.03036,-8.87372,-7.32759,-1.32355,-8.83018,-6.99297,-1.00167,-5.63201,-6.76225
-4.56917e+07,0.980389,0.0356317,7,127,0,4.56917e+07,0.000152782,0.370669,0.00144886,0.000365278,0.263278,0.000518607,0.00115417,0.362166,7.0003e-05,0.000176995,-8.7865,-0.992446,-6.53698,-7.91485,-1.33454,-7.56436,-6.76437,-1.01565,-9.56697,-8.63939
-4.56917e+07,0.949363,0.0356317,6,63,0,4.56917e+07,0.000354985,0.364855,0.000560442,0.000347272,0.279443,0.000259184,0.00088254,0.352706,0.000258305,0.000332258,-7.94344,-1.00825,-7.48678,-7.9654,-1.27496,-8.25797,-7.03271,-1.04212,-8.26137,-8.0096
-4.56917e+07,0.999219,0.0356317,6,63,0,4.56917e+07,0.000103084,0.369032,0.00214164,7.02034e-05,0.276209,0.000837123,0.00198205,0.349336,0.000175324,0.000114567,-9.17997,-0.996873,-6.14618,-9.56411,-1.2866,-7.08554,-6.22362,-1.05172,-8.64887,-9.07435
-4.56917e+07,0.999641,0.0356317,7,127,0,4.56917e+07,0.0035615,0.362159,6.75949e-05,0.000112867,0.270297,0.000158172,0.000842308,0.362438,0.000346716,1.64273e-05,-5.63757,-1.01567,-9.60198,-9.0893,-1.30823,-8.75182,-7.07937,-1.0149,-7.967,-11.0166
-4.56917e+07,0.918009,0.0356317,7,127,0,4.56917e+07,0.000307245,0.363554,0.00144773,1.51324e-05,0.271734,0.000611342,0.00169345,0.359503,0.000712401,0.000422944,-8.08786,-1.01183,-6.53776,-11.0987,-1.30293,-7.39985,-6.38099,-1.02303,-7.24687,-7.76827
-4.56917e+07,0.873984,0.0356317,6,127,0,4.56917e+07,0.000564479,0.365185,0.00156704,7.46948e-06,0.273551,0.000605205,0.00066667,0.354755,0.0022851,0.000813226,-7.47961,-1.00735,-6.45857,-11.8047,-1.29627,-7.40994,-7.31321,-1.03633,-6.08135,-7.1145
-4.56917e+07,0.732318,0.0356317,7,127,0,4.56917e+07,0.00132777,0.363955,0.000228477,0.000253857,0.281103,0.000137769,0.00145909,0.350744,0.000299736,0.000491595,-6.62426,-1.01073,-8.38407,-8.27874,-1.26904,-8.88993,-6.52994,-1.0477,-8.11261,-7.61786
-4.56917e+07,0.976133,0.0356317,6,127,0,4.56917e+07,0.000955537,0.363997,0.00060538,0.000814482,0.282043,0.000361053,0.00125149,0.349222,0.000332802,0.000418082,-6.95324,-1.01061,-7.40965,-7.11296,-1.2657,-7.92649,-6.68342,-1.05205,-8.00796,-7.77983
-4.56917e+07,0.8898,0.0356317,6,63,0,4.56917e+07,0.00145523,0.360602,0.00107496,0.00174959,0.263785,0.00120726,0.000958414,0.368601,0.000264508,0.000303192,-6.53259,-1.01998,-6.83547,-6.34838,-1.33262,-6.7194,-6.95023,-0.998041,-8.23764,-8.10114
-4.56917e+07,0.809025,0.0356317,6,63,0,4.56917e+07,0.00161253,0.365701,0.00131487,0.00156356,0.26487,0.000746937,0.00158555,0.361841,0.0003108,0.000452503,-6.42995,-1.00594,-6.63402,-6.46079,-1.32851,-7.19953,-6.44682,-1.01655,-8.07636,-7.70072
-4.56917e+07,0.986393,0.0356317,7,127,0,4.56917e+07,0.000303115,0.368971,0.00108621,0.000874334,0.266194,0.000171899,0.000507401,0.361218,0.000186602,0.000486497,-8.1014,-0.997036,-6.82506,-7.04205,-1.32353,-8.6686,-7.58621,-1.01827,-8.58653,-7.62828
-4.56917e+07,0.744158,0.0356317,7,127,0,4.56917e+07,0.00183222,0.3717,0.000194044,0.0018731,0.261984,0.00061523,0.000590616,0.359382,0.000875854,0.000953647,-6.30223,-0.989669,-8.54743,-6.28016,-1.33947,-7.39351,-7.43434,-1.02337,-7.04031,-6.95522
-4.56917e+07,0.993747,0.0356317,6,127,0,4.56917e+07,0.00149625,0.357918,0.000300564,0.000646988,0.277812,0.000194355,0.000511989,0.359043,0.00106955,0.00100705,-6.5048,-1.02745,-8.10985,-7.34318,-1.28081,-8.54583,-7.57721,-1.02431,-6.84052,-6.90073
-4.56917e+07,0.863473,0.0356317,6,63,0,4.56917e+07,0.00158688,0.373146,0.000239036,0.000857795,0.260309,0.000468806,0.000941464,0.357922,0.00268183,0.00184668,-6.44598,-0.985786,-8.3389,-7.06114,-1.34588,-7.66532,-6.96807,-1.02744,-5.92125,-6.29436
-4.56917e+07,0.902274,0.0356317,7,127,0,4.56917e+07,0.000986493,0.356665,0.000173037,0.00196754,0.268589,0.000171292,0.000839727,0.369856,0.000650513,0.000101292,-6.92135,-1.03096,-8.66201,-6.23097,-1.31457,-8.67214,-7.08243,-0.994641,-7.33775,-9.19751
-4.56917e+07,0.972106,0.0356317,7,127,0,4.56917e+07,0.00106183,0.355374,0.000371901,0.000525589,0.270016,0.000207036,0.00127813,0.369777,0.000265681,0.00112224,-6.84776,-1.03458,-7.89688,-7.55099,-1.30927,-8.48262,-6.66235,-0.994856,-8.23321,-6.79242
-4.56917e+07,0.996569,0.0356317,6,63,0,4.56917e+07,0.000526947,0.356709,0.00310989,0.000694986,0.276976,0.000816905,0.00107539,0.357622,0.000541479,0.00192762,-7.54841,-1.03083,-5.77317,-7.27162,-1.28383,-7.10999,-6.83507,-1.02828,-7.52121,-6.25147
-4.56917e+07,0.932505,0.0356317,7,127,0,4.56917e+07,0.00159722,0.366438,0.00010322,0.000221838,0.266389,0.000247763,0.000795975,0.361595,0.00244679,0.000164593,-6.43949,-1.00393,-9.17865,-8.41356,-1.3228,-8.30304,-7.13594,-1.01723,-6.01298,-8.71204
-4.56917e+07,0.873586,0.0356317,7,127,0,4.56917e+07,0.000536515,0.360514,0.000667506,0.0021635,0.272251,0.000129726,0.000928669,0.360782,0.000731674,0.00129648,-7.53042,-1.02023,-7.31196,-6.13603,-1.30103,-8.95009,-6.98176,-1.01948,-7.22018,-6.6481
-4.56917e+07,0.989622,0.0356317,6,127,0,4.56917e+07,0.00201456,0.359985,0.00120101,0.000583178,0.273356,0.00114251,0.000603321,0.360794,0.00029257,2.85981e-05,-6.20735,-1.02169,-6.72459,-7.44702,-1.29698,-6.77453,-7.41306,-1.01945,-8.13681,-10.4622
-4.56917e+07,0.932851,0.0356317,6,63,0,4.56917e+07,0.00126287,0.37044,0.0019905,0.000395575,0.26511,0.000699655,0.000821808,0.358504,0.000637348,0.000138017,-6.67437,-0.993065,-6.21937,-7.83517,-1.32761,-7.26492,-7.104,-1.02581,-7.35819,-8.88814
-4.56917e+07,0.986833,0.0356317,6,63,0,4.56917e+07,0.000739792,0.35765,0.00185461,0.000754792,0.272232,0.000503511,0.000487234,0.364885,0.000574222,0.000319162,-7.20914,-1.0282,-6.29008,-7.18907,-1.3011,-7.59391,-7.62677,-1.00817,-7.46249,-8.04981
-4.56917e+07,0.756646,0.0356317,6,63,0,4.56917e+07,0.000995255,0.360494,0.00162445,0.00099053,0.273182,0.000207675,0.00169147,0.359126,0.00121599,0.000472918,-6.91251,-1.02028,-6.42258,-6.91727,-1.29762,-8.47953,-6.38215,-1.02408,-6.7122,-7.65659
-4.56917e+07,0.995513,0.0356317,6,63,0,4.56917e+07,0.000397383,0.361534,0.00205126,0.000996624,0.269825,0.000211812,0.00321767,0.35875,0.00218094,0.000835107,-7.83061,-1.0174,-6.1893,-6.91114,-1.30998,-8.45981,-5.7391,-1.02513,-6.128,-7.08795
-4.56917e+07,0.982884,0.0356317,7,127,0,4.56917e+07,1.49916e-05,0.365138,0.000456066,0.00113259,0.272529,0.000331011,0.000125631,0.358895,0.000869906,0.000508124,-11.108,-1.00748,-7.69287,-6.78325,-1.30001,-8.01336,-8.98216,-1.02473,-7.04713,-7.58478
-4.56917e+07,0.888047,0.0356317,6,127,0,4.56917e+07,8.2783e-05,0.361861,0.000256058,0.00342581,0.268367,0.000701122,7.06332e-05,0.36362,0.000573578,0.00104143,-9.39929,-1.01649,-8.27011,-5.67642,-1.3154,-7.26283,-9.55801,-1.01165,-7.46362,-6.86716
-4.56917e+07,0.636384,0.0356317,2,7,0,4.56917e+07,8.46757e-05,0.348985,0.000259571,0.0035272,0.269887,0.000737086,7.2864e-05,0.374792,0.000588811,0.00106547,-9.37668,-1.05273,-8.25648,-5.64725,-1.30975,-7.21281,-9.52692,-0.981383,-7.43741,-6.84434
-4.56917e+07,0.949715,0.0356317,6,63,0,4.56917e+07,7.31018e-05,0.349661,0.000388711,0.00282196,0.282454,0.000302113,0.000122815,0.36332,0.00028578,0.000569319,-9.52366,-1.05079,-7.85268,-5.87032,-1.26424,-8.10471,-9.00483,-1.01247,-8.16029,-7.47107
-4.56917e+07,0.992224,0.0356317,7,127,0,4.56917e+07,0.00121612,0.351744,0.00102018,0.000328478,0.280012,8.47368e-05,0.000479508,0.364425,0.000404198,0.000285031,-6.71209,-1.04485,-6.88778,-8.02104,-1.27292,-9.37596,-7.64275,-1.00943,-7.81361,-8.16291
-4.56917e+07,0.91847,0.0356317,6,127,0,4.56917e+07,0.00145415,0.373315,0.00098943,0.000107282,0.264313,0.00018666,0.00294989,0.353928,0.00208505,0.000671344,-6.53333,-0.985332,-6.91838,-9.14005,-1.33062,-8.58622,-5.82599,-1.03866,-6.17296,-7.30623
-4.56917e+07,0.754194,0.0356317,7,127,0,4.56917e+07,0.00119682,0.378956,0.000217723,0.00107494,0.261667,0.000609392,0.000198501,0.355578,0.000501405,1.26018e-06,-6.72809,-0.970336,-8.43229,-6.83549,-1.34068,-7.40305,-8.52472,-1.03401,-7.5981,-13.5843
-4.56917e+07,0.937764,0.0356317,7,127,0,4.56917e+07,0.00179781,0.348332,0.000241848,0.000320839,0.273198,0.000157627,0.000950545,0.373262,0.00173655,3.1792e-06,-6.32119,-1.0546,-8.3272,-8.04457,-1.29756,-8.75528,-6.95847,-0.985474,-6.35586,-12.6589
-4.56917e+07,0.998244,0.0356317,7,191,0,4.56917e+07,0.000265196,0.350044,0.000580753,0.000261149,0.278289,5.71074e-05,0.000454928,0.367133,0.00266019,0.000254481,-8.23504,-1.0497,-7.45119,-8.25042,-1.2791,-9.77058,-7.69537,-1.00203,-5.92936,-8.27628
-4.56917e+07,0.944211,0.0356317,7,127,0,4.56917e+07,0.000283108,0.353656,0.00216828,0.00365308,0.280422,0.00111838,0.00191394,0.355383,0.000236184,0.00116649,-8.16968,-1.03943,-6.13382,-5.61218,-1.27146,-6.79588,-6.25859,-1.03456,-8.3509,-6.75375
-4.56917e+07,0.850916,0.0356317,6,63,0,4.56917e+07,0.000793002,0.348414,0.000284155,0.000669772,0.280712,9.37916e-05,0.000391314,0.365373,0.00209049,0.00117818,-7.13968,-1.05436,-8.16599,-7.30857,-1.27043,-9.27444,-7.846,-1.00684,-6.17036,-6.74379
-4.56917e+07,0.89209,0.0356317,7,127,0,4.56917e+07,0.00074817,0.382394,0.00191845,0.00159337,0.259066,0.000251567,0.00256978,0.349605,0.000854068,0.000999371,-7.19788,-0.961305,-6.25624,-6.4419,-1.35067,-8.2878,-5.96394,-1.05095,-7.0655,-6.90838
-4.56917e+07,0.979501,0.0356317,6,63,0,4.56917e+07,0.000439341,0.369077,0.00150695,0.000436118,0.272581,0.000249766,0.000539512,0.35438,0.000215972,0.000573913,-7.73023,-0.996749,-6.49767,-7.7376,-1.29982,-8.29498,-7.52485,-1.03738,-8.44036,-7.46303
-4.56917e+07,0.909995,0.0356317,6,63,0,4.56917e+07,0.000540408,0.357919,0.00196263,0.00109247,0.269121,0.000775221,0.00190819,0.362272,0.0016366,0.00277121,-7.52319,-1.02745,-6.23347,-6.81932,-1.31259,-7.16236,-6.2616,-1.01536,-6.41513,-5.88847
-4.56917e+07,0.982713,0.0356317,5,31,0,4.56917e+07,0.000587038,0.357085,0.0018809,0.000914118,0.268202,0.000872538,0.001803,0.363663,0.0018468,0.00314467,-7.44042,-1.02978,-6.276,-6.99755,-1.31601,-7.0441,-6.31831,-1.01153,-6.2943,-5.76204
-4.56917e+07,0.993479,0.0356317,7,127,0,4.56917e+07,0.00135945,0.361,0.000313405,0.000114421,0.273327,0.000223599,0.00132504,0.361787,0.000287619,0.000261806,-6.60067,-1.01888,-8.06802,-9.07562,-1.29709,-8.40565,-6.62632,-1.0167,-8.15388,-8.24791
-4.56917e+07,0.868079,0.0356317,6,63,0,4.56917e+07,0.00171494,0.355781,0.00382547,0.000518922,0.265914,0.000371952,0.00062065,0.365981,0.00344947,0.00182154,-6.36838,-1.03344,-5.56607,-7.56376,-1.32458,-7.89675,-7.38474,-1.00517,-5.66954,-6.30807
-4.56917e+07,0.837836,0.0356317,6,63,0,4.56917e+07,0.000620185,0.368034,0.000221594,0.00222389,0.258285,0.000433405,0.00035907,0.369372,0.000283677,0.000166996,-7.38549,-0.99958,-8.41466,-6.1085,-1.35369,-7.74384,-7.93199,-0.995952,-8.16767,-8.69754
-4.56917e+07,0.999791,0.0356317,6,63,0,4.56917e+07,0.000404737,0.35697,0.000145437,0.0029162,0.264684,8.51094e-05,0.000196312,0.374121,0.000293617,0.000184092,-7.81227,-1.0301,-8.83577,-5.83747,-1.32922,-9.37157,-8.5358,-0.983177,-8.13323,-8.60008
-4.56917e+07,0.918533,0.0356317,6,63,0,4.56917e+07,0.000322006,0.363592,9.0922e-05,0.00386675,0.278281,9.3671e-05,0.000147963,0.353197,0.00022195,0.000187155,-8.04094,-1.01172,-9.30551,-5.55534,-1.27912,-9.27572,-8.81855,-1.04073,-8.41306,-8.58357
-4.56917e+07,0.959283,0.0356317,6,63,0,4.56917e+07,0.00173212,0.368686,0.000578756,0.000338983,0.271504,0.000363068,0.00109232,0.354807,0.000553692,0.000343753,-6.35841,-0.997809,-7.45463,-7.98956,-1.30378,-7.92092,-6.81945,-1.03618,-7.4989,-7.97559
-4.56917e+07,0.888162,0.0356317,7,127,0,4.56917e+07,0.00110844,0.365592,0.00128244,0.00388079,0.274469,0.000367119,0.000631784,0.350567,0.00136339,0.000739081,-6.8048,-1.00624,-6.65899,-5.55172,-1.29292,-7.90983,-7.36696,-1.0482,-6.59778,-7.2101
-4.56917e+07,0.71785,0.0356317,7,127,0,4.56917e+07,0.000902425,0.37902,0.000808878,0.00062346,0.260435,0.000301738,0.00271063,0.352839,0.000911731,0.00144734,-7.01042,-0.970165,-7.11986,-7.38023,-1.3454,-8.10595,-5.91058,-1.04174,-7.00017,-6.53803
-4.56917e+07,0.984009,0.0356317,6,63,0,4.56917e+07,0.000375986,0.366692,0.00311831,0.000424131,0.262779,0.000506906,0.000176837,0.364738,0.000383101,0.000805264,-7.88596,-1.00323,-5.77046,-7.76547,-1.33644,-7.58719,-8.64028,-1.00858,-7.86721,-7.12434
