# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-21 10:45:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 46051
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmplgwt001z/cryo-erk_atmu8o/cryo-er-20231121114549.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0353577
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.5031e+07,0.993471,0.0353577,7,127,0,4.5031e+07,1.02575e-05,0.363402,0.00270006,0.00111629,0.273862,0.000221879,9.93729e-05,0.357689,0.000445546,0.000453141,-11.4875,-1.01225,-5.91448,-6.79774,-1.29513,-8.41338,-9.21663,-1.02809,-7.71621,-7.69931
-4.5031e+07,0.56296,0.0353577,7,127,0,4.5031e+07,0.00181772,0.344513,0.000173339,0.000321569,0.270402,1.3042e-05,0.00044745,0.377878,0.00425203,0.000181364,-6.31017,-1.06562,-8.66026,-8.0423,-1.30784,-11.2473,-7.71195,-0.973185,-5.46036,-8.615
-4.5031e+07,0.771038,0.0353577,7,127,0,4.5031e+07,0.00151512,0.367907,0.000113531,0.00104839,0.274995,6.86936e-06,0.00221053,0.350223,0.00181985,0.000161126,-6.49226,-0.999926,-9.08343,-6.8605,-1.291,-11.8884,-6.11452,-1.04919,-6.309,-8.73332
-4.5031e+07,0.965767,0.0353577,7,127,0,4.5031e+07,0.000344277,0.359524,3.62622e-05,0.000803628,0.265995,0.000492223,0.000278021,0.370287,0.000878217,0.00136055,-7.97406,-1.02297,-10.2247,-7.12637,-1.32428,-7.61658,-8.18781,-0.993476,-7.03762,-6.59987
-4.5031e+07,0.749737,0.0353577,6,63,0,4.5031e+07,0.000744202,0.355234,5.24536e-05,0.000634162,0.271008,7.59858e-05,0.000525316,0.370088,0.000646336,0.000991447,-7.2032,-1.03498,-9.85558,-7.36321,-1.30561,-9.48496,-7.55151,-0.994016,-7.34419,-6.91635
-4.5031e+07,0.906145,0.0353577,6,63,0,4.5031e+07,0.000474392,0.35092,2.03426e-05,0.00390297,0.271049,1.5579e-05,0.00117545,0.370304,0.00104735,0.00109104,-7.65348,-1.0472,-10.8028,-5.54602,-1.30546,-11.0696,-6.74611,-0.99343,-6.86149,-6.82063
-4.5031e+07,0.950811,0.0353577,7,127,0,4.5031e+07,0.000576697,0.364735,2.32774e-05,0.00338367,0.271223,1.81131e-05,0.0016166,0.357289,0.000806597,0.000328271,-7.45819,-1.00858,-10.668,-5.68879,-1.30481,-10.9189,-6.42743,-1.02921,-7.12269,-8.02167
-4.5031e+07,0.736928,0.0353577,7,127,0,4.5031e+07,0.00241824,0.35975,0.00274531,0.000293878,0.273881,3.97003e-05,0.000280023,0.357579,0.00200591,0.00100676,-6.02471,-1.02235,-5.89786,-8.13234,-1.29506,-10.1342,-8.18064,-1.0284,-6.21166,-6.90101
-4.5031e+07,0.996508,0.0353577,7,127,0,4.5031e+07,0.0001141,0.360977,8.22871e-05,0.000272579,0.274822,0.000485846,0.000224687,0.3606,0.000392348,0.0020294,-9.07844,-1.01894,-9.4053,-8.20758,-1.29163,-7.62962,-8.4008,-1.01999,-7.84336,-6.20001
-4.5031e+07,0.760069,0.0353577,6,127,0,4.5031e+07,0.000158851,0.355855,0.000157524,0.000279783,0.272267,0.000793539,8.53484e-05,0.368365,0.000948289,0.00108968,-8.74754,-1.03323,-8.75593,-8.1815,-1.30097,-7.13901,-9.36877,-0.99868,-6.96085,-6.82187
