# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-22 14:00:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 60518
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmph0litvrk/cryo-erquzigtdd/cryo-er-20231122150021.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0346152
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.56917e+07,0.6753,0.0346152,6,127,0,4.56917e+07,0.000548718,0.363315,5.69206e-05,0.000560077,0.26647,0.000745087,0.00093329,0.366278,0.000439893,0.00065251,-7.50793,-1.01248,-9.77385,-7.48744,-1.32249,-7.20201,-6.97679,-1.00436,-7.72898,-7.33468
-4.56917e+07,0.957226,0.0346152,6,63,0,4.56917e+07,0.000734763,0.356794,0.000405584,0.00156269,0.271229,0.00017697,0.00103422,0.365728,0.00110735,0.00122706,-7.21596,-1.0306,-7.81018,-6.46135,-1.30479,-8.63953,-6.87411,-1.00586,-6.80578,-6.70313
-4.56917e+07,0.817005,0.0346152,6,127,0,4.56917e+07,0.000559817,0.373311,0.000145231,0.0017815,0.273788,7.49553e-05,0.000688761,0.347982,0.000478687,0.00118936,-7.4879,-0.985343,-8.83719,-6.3303,-1.2954,-9.49862,-7.28062,-1.0556,-7.64446,-6.73434
-4.56917e+07,0.999982,0.0346152,7,127,0,4.56917e+07,0.00136859,0.366753,0.000381956,0.000525081,0.261543,0.000740294,0.00124602,0.365072,0.00209568,0.000274982,-6.59397,-1.00307,-7.87021,-7.55196,-1.34116,-7.20846,-6.6878,-1.00766,-6.16788,-8.19881
-4.56917e+07,0.893751,0.0346152,7,127,0,4.56917e+07,0.000515803,0.363104,0.000874779,0.000612066,0.266261,0.000143989,0.000341471,0.365732,0.00166016,0.000754192,-7.56979,-1.01306,-7.04154,-7.39867,-1.32328,-8.84578,-7.98225,-1.00586,-6.40084,-7.18986
-4.56917e+07,0.8517,0.0346152,6,127,0,4.56917e+07,0.000621162,0.36216,0.0011728,0.000613504,0.264158,0.000121665,0.00107146,0.369395,0.000289937,0.000396531,-7.38392,-1.01567,-6.74836,-7.39632,-1.33121,-9.01424,-6.83874,-0.99589,-8.14585,-7.83276
-4.56917e+07,0.696787,0.0346152,6,63,0,4.56917e+07,0.000721196,0.361272,0.000333858,0.000797284,0.27523,0.000221697,0.000335807,0.360404,0.000185587,0.000497962,-7.2346,-1.01812,-8.0048,-7.1343,-1.29015,-8.4142,-7.99897,-1.02053,-8.59199,-7.60499
-4.56917e+07,0.918225,0.0346152,7,127,0,4.56917e+07,0.00138501,0.364169,0.000346473,6.93233e-05,0.267219,0.000351952,0.00233198,0.36159,0.00190707,0.000629902,-6.58205,-1.01014,-7.96771,-9.57673,-1.31969,-7.95201,-6.06104,-1.01724,-6.26219,-7.36995
-4.56917e+07,0.618402,0.0346152,6,127,0,4.56917e+07,0.00106329,0.353584,0.000650404,0.000594916,0.27557,0.000197951,0.000474089,0.366231,0.000972884,0.000661424,-6.84639,-1.03963,-7.33792,-7.42709,-1.28891,-8.52749,-7.65412,-1.00449,-6.93525,-7.32112
-4.56917e+07,0.969182,0.0346152,6,127,0,4.56917e+07,0.00107674,0.361875,0.000457623,0.000393131,0.266673,0.000156884,0.00079011,0.366855,0.00106924,0.000653687,-6.83381,-1.01646,-7.68947,-7.84137,-1.32173,-8.76,-7.14334,-1.00279,-6.84081,-7.33288
-4.56917e+07,0.584175,0.0346152,6,63,0,4.56917e+07,0.00167089,0.356237,0.00353218,0.000886407,0.263031,7.54639e-05,0.000575459,0.370697,0.00213982,0.00115495,-6.3944,-1.03216,-5.64584,-7.02833,-1.33548,-9.49186,-7.46034,-0.992369,-6.14703,-6.7637
-4.56917e+07,0.940237,0.0346152,6,127,0,4.56917e+07,0.00134505,0.366655,0.00187246,0.00146799,0.266473,5.41205e-05,0.00054765,0.356869,0.00352076,0.0011951,-6.61132,-1.00333,-6.2805,-6.52386,-1.32248,-9.8243,-7.50987,-1.03039,-5.64908,-6.72953
-4.56917e+07,0.910732,0.0346152,6,63,0,4.56917e+07,0.000787601,0.356932,0.00187964,0.00135767,0.268501,0.000191991,0.00274186,0.366241,0.000867221,0.000500589,-7.14652,-1.03021,-6.27668,-6.60198,-1.3149,-8.55806,-5.89912,-1.00446,-7.05022,-7.59973
-4.56917e+07,0.989447,0.0346152,6,63,0,4.56917e+07,0.00131056,0.366809,0.00165682,0.0016255,0.265099,0.000363063,0.00112192,0.357432,0.00321849,0.00136469,-6.6373,-1.00291,-6.40285,-6.42194,-1.32765,-7.92093,-6.79271,-1.02881,-5.73884,-6.59683
-4.56917e+07,0.928155,0.0346152,7,255,0,4.56917e+07,0.000923868,0.361108,0.00072464,0.00247739,0.270906,0.000384439,0.000909393,0.361759,9.79914e-05,0.000709882,-6.98694,-1.01858,-7.22984,-6.00055,-1.30599,-7.86373,-7.00273,-1.01678,-9.23063,-7.25041
-4.56917e+07,0.999747,0.0346152,7,127,0,4.56917e+07,0.00250457,0.361543,0.00156279,0.000347035,0.2721,0.000423274,0.00143672,0.358345,0.000140141,0.00159854,-5.98964,-1.01738,-6.46128,-7.96609,-1.30159,-7.76749,-6.54539,-1.02626,-8.87286,-6.43867
